English Name,English District,Accepted Arabic Name,Match Score
Soultaniyé,Bint Jbayl,السلطانيه,62.5
El-Jahliyeh,Chouf,الجاهلية,61.53846153846154
Soultaniyé,Bint Jbayl,السلطانيه,62.5
Nmériyé,Nabatiyeh,النميريه,61.53846153846154
Batroune,Batroun,البترون,61.53846153846154
El-Jahliyeh,Chouf,الجاهلية,61.53846153846154
Soultaniyé,Bint Jbayl,السلطانيه,62.5
Nmériyé,Nabatiyeh,النميريه,61.53846153846154
Batroune,Batroun,البترون,61.53846153846154
